symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,strategy,risk_pct,sl_pct,tp_pct,timeframe,hold_time_minutes
AAPL,2023-10-09 17:31:00+00:00,2023-10-12 13:29:00+00:00,178.08,179.8608,39,69.45119999999997,1.0000000000000009,take_profit,GapAndGo,7.0,0.5,1.0,1m,4078.0
MSFT,2023-10-09 17:25:00+00:00,2023-10-11 13:32:00+00:00,328.485,331.76985,21,68.98185000000012,1.0000000000000009,take_profit,GapAndGo,7.0,0.5,1.0,1m,2647.0
TSLA,2023-10-09 17:37:00+00:00,2023-10-09 18:22:00+00:00,256.5,259.065,27,69.25499999999994,1.0000000000000009,take_profit,GapAndGo,7.0,0.5,1.0,1m,45.0
