symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,strategy,risk_pct,sl_pct,tp_pct,timeframe,hold_time_minutes
AAPL,2023-10-09 15:20:00+00:00,2023-10-09 19:15:00+00:00,176.865,178.73,5,9.324999999999903,1.054476578181096,signal,BaselineSMA,1.0,1.0,2.0,5m,235.0
AAPL,2023-10-09 19:20:00+00:00,2023-10-09 19:30:00+00:00,178.84,178.73,5,-0.5500000000000682,-0.06150749273093892,signal,BaselineSMA,1.0,1.0,2.0,5m,10.0
AAPL,2023-10-09 19:45:00+00:00,2023-10-10 13:30:00+00:00,178.99,178.48,5,-2.5500000000000966,-0.2849321191128129,signal,BaselineSMA,1.0,1.0,2.0,5m,1065.0
AAPL,2023-10-10 14:00:00+00:00,2023-10-10 14:05:00+00:00,178.81,178.47,5,-1.700000000000017,-0.1901459649907733,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-10 14:15:00+00:00,2023-10-10 16:35:00+00:00,178.98,179.43,5,2.2500000000000853,0.25142474019443917,signal,BaselineSMA,1.0,1.0,2.0,5m,140.0
AAPL,2023-10-10 16:50:00+00:00,2023-10-10 16:55:00+00:00,179.63,179.51,5,-0.6000000000000227,-0.06680398597116444,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-10 18:40:00+00:00,2023-10-10 18:50:00+00:00,178.41,178.08,5,-1.6499999999999204,-0.18496721035815566,signal,BaselineSMA,1.0,1.0,2.0,5m,10.0
AAPL,2023-10-10 19:00:00+00:00,2023-10-10 19:50:00+00:00,178.305,178.24,5,-0.32499999999998863,-0.03645438994980266,signal,BaselineSMA,1.0,1.0,2.0,5m,50.0
AAPL,2023-10-11 13:35:00+00:00,2023-10-11 13:40:00+00:00,178.86,178.44,5,-2.1000000000000796,-0.234820530023494,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-11 14:30:00+00:00,2023-10-11 15:55:00+00:00,178.4,178.69,5,1.4499999999999602,0.16255605381165772,signal,BaselineSMA,1.0,1.0,2.0,5m,85.0
AAPL,2023-10-11 16:55:00+00:00,2023-10-11 17:00:00+00:00,178.63,178.48,5,-0.7500000000000284,-0.08397245703409828,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-11 17:05:00+00:00,2023-10-11 17:15:00+00:00,178.64,178.37,5,-1.349999999999909,-0.15114196148677816,signal,BaselineSMA,1.0,1.0,2.0,5m,10.0
AAPL,2023-10-11 17:20:00+00:00,2023-10-11 17:25:00+00:00,178.605,178.575,5,-0.15000000000000568,-0.01679684219366706,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-11 17:40:00+00:00,2023-10-11 17:45:00+00:00,178.56,178.4,5,-0.799999999999983,-0.08960573476702871,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-11 17:50:00+00:00,2023-10-12 15:10:00+00:00,178.59,182.1618,5,17.85899999999998,2.0000000000000018,take_profit,BaselineSMA,1.0,1.0,2.0,5m,1280.0
AAPL,2023-10-12 15:55:00+00:00,2023-10-12 16:00:00+00:00,181.955,181.82,5,-0.6750000000000966,-0.07419416888791996,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-12 16:05:00+00:00,2023-10-12 16:45:00+00:00,181.99,181.905,5,-0.4250000000000398,-0.046705862959506295,signal,BaselineSMA,1.0,1.0,2.0,5m,40.0
AAPL,2023-10-12 16:50:00+00:00,2023-10-12 17:00:00+00:00,182.08,181.54,5,-2.7000000000001023,-0.296572934973649,signal,BaselineSMA,1.0,1.0,2.0,5m,10.0
AAPL,2023-10-12 19:00:00+00:00,2023-10-13 14:10:00+00:00,179.96,180.6,5,3.199999999999932,0.35563458546343796,signal,BaselineSMA,1.0,1.0,2.0,5m,1150.0
AAPL,2023-10-13 16:20:00+00:00,2023-10-13 16:50:00+00:00,179.23,179.02,5,-1.0499999999998977,-0.11716788484069651,signal,BaselineSMA,1.0,1.0,2.0,5m,30.0
AAPL,2023-10-13 16:55:00+00:00,2023-10-13 17:00:00+00:00,179.13,178.975,5,-0.7750000000000057,-0.08652933623625181,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-13 18:05:00+00:00,2023-10-13 19:25:00+00:00,178.87,178.935,5,0.32499999999998863,0.03633924078940698,signal,BaselineSMA,1.0,1.0,2.0,5m,80.0
AAPL,2023-10-16 14:20:00+00:00,2023-10-17 13:25:00+00:00,178.34,176.5566,5,-8.917000000000002,-1.0000000000000009,stop_loss,BaselineSMA,1.0,1.0,2.0,5m,1385.0
AAPL,2023-10-17 19:50:00+00:00,2023-10-18 13:25:00+00:00,177.105,175.47,5,-8.174999999999955,-0.9231811637164355,signal,BaselineSMA,1.0,1.0,2.0,5m,1055.0
AAPL,2023-10-18 13:50:00+00:00,2023-10-18 14:30:00+00:00,176.55,176.025,5,-2.6250000000000284,-0.29736618521665203,signal,BaselineSMA,1.0,1.0,2.0,5m,40.0
AAPL,2023-10-18 15:00:00+00:00,2023-10-18 15:05:00+00:00,176.65,176.34,5,-1.5500000000000114,-0.17548825360883535,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-18 15:10:00+00:00,2023-10-18 16:20:00+00:00,176.525,176.82,5,1.4749999999999375,0.16711513949865253,signal,BaselineSMA,1.0,1.0,2.0,5m,70.0
AAPL,2023-10-18 17:05:00+00:00,2023-10-18 17:30:00+00:00,177.08,176.72,5,-1.8000000000000682,-0.20329794443190163,signal,BaselineSMA,1.0,1.0,2.0,5m,25.0
AAPL,2023-10-18 17:55:00+00:00,2023-10-18 18:10:00+00:00,176.77,176.68,5,-0.45000000000001705,-0.05091361656389681,signal,BaselineSMA,1.0,1.0,2.0,5m,15.0
AAPL,2023-10-19 13:30:00+00:00,2023-10-19 13:35:00+00:00,176.33,176.07,5,-1.3000000000000966,-0.1474508024726484,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-19 13:40:00+00:00,2023-10-19 14:25:00+00:00,176.13,176.26,5,0.6499999999999773,0.07380911826491143,signal,BaselineSMA,1.0,1.0,2.0,5m,45.0
AAPL,2023-10-19 14:30:00+00:00,2023-10-19 14:50:00+00:00,176.44,176.43,5,-0.049999999999954525,-0.0056676490591600626,signal,BaselineSMA,1.0,1.0,2.0,5m,20.0
AAPL,2023-10-19 15:40:00+00:00,2023-10-19 16:30:00+00:00,176.57,175.95,5,-3.1000000000000227,-0.351135526986468,signal,BaselineSMA,1.0,1.0,2.0,5m,50.0
AAPL,2023-10-19 16:45:00+00:00,2023-10-19 17:35:00+00:00,176.65,176.925,5,1.3750000000000284,0.15567506368525663,signal,BaselineSMA,1.0,1.0,2.0,5m,50.0
AAPL,2023-10-20 15:55:00+00:00,2023-10-20 18:05:00+00:00,173.61,174.005,5,1.974999999999909,0.227521456137314,signal,BaselineSMA,1.0,1.0,2.0,5m,130.0
AAPL,2023-10-23 14:35:00+00:00,2023-10-23 18:15:00+00:00,171.87,173.26,5,6.949999999999932,0.8087508000232724,signal,BaselineSMA,1.0,1.0,2.0,5m,220.0
AAPL,2023-10-23 19:00:00+00:00,2023-10-23 19:10:00+00:00,173.61,173.48,5,-0.6500000000001194,-0.07488047923508434,signal,BaselineSMA,1.0,1.0,2.0,5m,10.0
AAPL,2023-10-24 14:20:00+00:00,2023-10-24 14:40:00+00:00,172.78,172.53,5,-1.25,-0.1446926727630471,signal,BaselineSMA,1.0,1.0,2.0,5m,20.0
AAPL,2023-10-24 14:45:00+00:00,2023-10-24 14:50:00+00:00,172.82,172.4,5,-2.0999999999999375,-0.24302742738108174,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-24 15:10:00+00:00,2023-10-24 15:20:00+00:00,172.59,172.25,5,-1.700000000000017,-0.19699866736195837,signal,BaselineSMA,1.0,1.0,2.0,5m,10.0
AAPL,2023-10-24 15:40:00+00:00,2023-10-24 16:05:00+00:00,172.5,172.53,5,0.15000000000000568,0.017391304347835757,signal,BaselineSMA,1.0,1.0,2.0,5m,25.0
AAPL,2023-10-24 17:25:00+00:00,2023-10-25 13:25:00+00:00,172.18,171.47,5,-3.55000000000004,-0.4123591590196374,signal,BaselineSMA,1.0,1.0,2.0,5m,1200.0
AAPL,2023-10-25 18:10:00+00:00,2023-10-25 18:35:00+00:00,171.435,171.18,5,-1.2749999999999773,-0.14874442208416827,signal,BaselineSMA,1.0,1.0,2.0,5m,25.0
AAPL,2023-10-25 19:20:00+00:00,2023-10-25 19:40:00+00:00,171.18,171.11,5,-0.3499999999999659,-0.0408926276434074,signal,BaselineSMA,1.0,1.0,2.0,5m,20.0
AAPL,2023-10-25 19:45:00+00:00,2023-10-25 19:55:00+00:00,171.28,171.1,5,-0.9000000000000341,-0.1050910789350823,signal,BaselineSMA,1.0,1.0,2.0,5m,10.0
AAPL,2023-10-27 13:30:00+00:00,2023-10-27 13:35:00+00:00,167.68,167.14,5,-2.7000000000001023,-0.32204198473283485,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-27 13:40:00+00:00,2023-10-27 13:50:00+00:00,168.3,167.21,5,-5.450000000000017,-0.6476530005941838,signal,BaselineSMA,1.0,1.0,2.0,5m,10.0
AAPL,2023-10-27 13:55:00+00:00,2023-10-27 14:40:00+00:00,167.855,167.42,5,-2.1750000000000114,-0.2591522444967409,signal,BaselineSMA,1.0,1.0,2.0,5m,45.0
AAPL,2023-10-27 14:45:00+00:00,2023-10-27 15:40:00+00:00,167.82,168.26,5,2.1999999999999886,0.26218567512810154,signal,BaselineSMA,1.0,1.0,2.0,5m,55.0
AAPL,2023-10-27 15:55:00+00:00,2023-10-27 16:00:00+00:00,168.37,168.18,5,-0.9499999999999886,-0.11284670665795415,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-27 16:05:00+00:00,2023-10-27 16:10:00+00:00,168.37,167.965,5,-2.0250000000000057,-0.2405416641919622,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-27 17:40:00+00:00,2023-10-27 18:00:00+00:00,167.58,167.44,5,-0.7000000000000739,-0.08354218880535225,signal,BaselineSMA,1.0,1.0,2.0,5m,20.0
AAPL,2023-10-27 19:00:00+00:00,2023-10-27 19:35:00+00:00,167.72,167.61,5,-0.5499999999999261,-0.06558549964225113,signal,BaselineSMA,1.0,1.0,2.0,5m,35.0
AAPL,2023-10-27 19:50:00+00:00,2023-10-30 14:25:00+00:00,168.0,169.36,5,6.800000000000068,0.8095238095238155,signal,BaselineSMA,1.0,1.0,2.0,5m,3995.0
AAPL,2023-10-30 14:30:00+00:00,2023-10-30 14:40:00+00:00,169.57,169.535,5,-0.17499999999998295,-0.020640443474673198,signal,BaselineSMA,1.0,1.0,2.0,5m,10.0
AAPL,2023-10-30 14:50:00+00:00,2023-10-30 14:55:00+00:00,170.05,169.41,5,-3.200000000000074,-0.37635989414879223,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-30 15:15:00+00:00,2023-10-30 15:20:00+00:00,170.11,169.57,5,-2.7000000000001023,-0.3174416553994641,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-30 15:30:00+00:00,2023-10-30 15:35:00+00:00,170.05,169.76,5,-1.4500000000001023,-0.1705380770361753,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-30 15:50:00+00:00,2023-10-30 16:05:00+00:00,169.885,169.69,5,-0.9749999999999659,-0.11478353003502306,signal,BaselineSMA,1.0,1.0,2.0,5m,15.0
AAPL,2023-10-30 16:10:00+00:00,2023-10-30 16:15:00+00:00,169.85,169.55,5,-1.4999999999999147,-0.17662643508977727,signal,BaselineSMA,1.0,1.0,2.0,5m,5.0
AAPL,2023-10-30 17:20:00+00:00,2023-10-30 19:50:00+00:00,169.68,170.3,5,3.1000000000000227,0.36539368222536783,signal,BaselineSMA,1.0,1.0,2.0,5m,150.0
AAPL,2023-10-31 14:40:00+00:00,2023-10-31 16:10:00+00:00,169.745,169.4,5,-1.7249999999999943,-0.20324604553889625,signal,BaselineSMA,1.0,1.0,2.0,5m,90.0
AAPL,2023-10-31 16:20:00+00:00,2023-10-31 18:15:00+00:00,169.54,170.2,5,3.299999999999983,0.38928866344225543,signal,BaselineSMA,1.0,1.0,2.0,5m,115.0
