timestamp,equity,cash,positions_value
2023-10-09 15:09:00+00:00,99965.53375,99965.53375,0.0
2023-10-09 16:56:00+00:00,99965.53375,99965.53375,0.0
2023-10-09 18:43:00+00:00,99965.53375,99965.53375,0.0
2023-10-10 13:53:00+00:00,99961.63375000001,93003.44875000001,6958.1849999999995
2023-10-10 15:33:00+00:00,100001.60875000001,93003.44875000001,6998.16
2023-10-10 17:16:00+00:00,99957.53875,93003.44875000001,6954.09
2023-10-10 18:56:00+00:00,99948.56875,93003.44875000001,6945.120000000001
2023-10-11 14:06:00+00:00,99944.47375,92998.96375000001,6945.51
2023-10-11 15:46:00+00:00,99967.48375000001,92998.96375000001,6968.52
2023-10-11 17:34:00+00:00,99960.65875,92998.96375000001,6961.695
2023-10-11 19:15:00+00:00,99984.25375,99984.25375,0.0
2023-10-12 14:25:00+00:00,100047.52375,93136.65375,6910.870000000001
2023-10-12 16:05:00+00:00,100052.72975,100052.72975,0.0
2023-10-12 17:45:00+00:00,100052.72975,100052.72975,0.0
2023-10-12 19:25:00+00:00,100052.72975,100052.72975,0.0
2023-10-13 14:35:00+00:00,100018.1773,100018.1773,0.0
2023-10-13 16:16:00+00:00,100018.1773,100018.1773,0.0
2023-10-13 17:59:00+00:00,100018.1773,100018.1773,0.0
2023-10-13 19:40:00+00:00,100018.1773,100018.1773,0.0
2023-10-16 14:48:00+00:00,100018.1773,100018.1773,0.0
2023-10-16 16:28:00+00:00,100018.1773,100018.1773,0.0
2023-10-16 18:08:00+00:00,100018.1773,100018.1773,0.0
2023-10-16 19:51:00+00:00,100018.1773,100018.1773,0.0
2023-10-17 14:58:00+00:00,100018.1773,100018.1773,0.0
2023-10-17 16:38:00+00:00,100018.1773,100018.1773,0.0
2023-10-17 18:18:00+00:00,100018.1773,100018.1773,0.0
2023-10-17 19:58:00+00:00,100018.1773,100018.1773,0.0
2023-10-18 15:07:00+00:00,100018.1773,100018.1773,0.0
2023-10-18 16:51:00+00:00,100018.1773,100018.1773,0.0
2023-10-18 18:31:00+00:00,100018.1773,100018.1773,0.0
2023-10-19 13:41:00+00:00,100018.1773,100018.1773,0.0
2023-10-19 15:21:00+00:00,100018.1773,100018.1773,0.0
2023-10-19 17:01:00+00:00,100018.1773,100018.1773,0.0
2023-10-19 18:41:00+00:00,100018.1773,100018.1773,0.0
2023-10-20 13:47:00+00:00,100018.1773,100018.1773,0.0
2023-10-20 15:27:00+00:00,100018.1773,100018.1773,0.0
2023-10-20 17:07:00+00:00,100018.1773,100018.1773,0.0
2023-10-20 18:47:00+00:00,100018.1773,100018.1773,0.0
2023-10-23 13:57:00+00:00,100018.1773,100018.1773,0.0
2023-10-23 15:37:00+00:00,100018.1773,100018.1773,0.0
2023-10-23 17:17:00+00:00,100018.1773,100018.1773,0.0
2023-10-23 18:57:00+00:00,100018.1773,100018.1773,0.0
2023-10-24 14:07:00+00:00,100018.1773,100018.1773,0.0
2023-10-24 15:47:00+00:00,100018.1773,100018.1773,0.0
2023-10-24 17:27:00+00:00,100018.1773,100018.1773,0.0
2023-10-24 19:08:00+00:00,100018.1773,100018.1773,0.0
2023-10-25 14:17:00+00:00,100018.1773,100018.1773,0.0
2023-10-25 15:57:00+00:00,100018.1773,100018.1773,0.0
2023-10-25 17:37:00+00:00,100018.1773,100018.1773,0.0
2023-10-25 19:18:00+00:00,100018.1773,100018.1773,0.0
2023-10-26 14:27:00+00:00,100018.1773,100018.1773,0.0
2023-10-26 16:07:00+00:00,100018.1773,100018.1773,0.0
2023-10-26 17:47:00+00:00,100018.1773,100018.1773,0.0
2023-10-26 19:27:00+00:00,100018.1773,100018.1773,0.0
2023-10-27 14:35:00+00:00,100018.1773,100018.1773,0.0
2023-10-27 16:15:00+00:00,100018.1773,100018.1773,0.0
2023-10-27 17:55:00+00:00,100018.1773,100018.1773,0.0
2023-10-27 19:35:00+00:00,100018.1773,100018.1773,0.0
2023-10-30 14:43:00+00:00,100018.1773,100018.1773,0.0
